date,sales,promo_flag
2025-01-01,1029.8,0
2025-01-02,993.9,0
2025-01-03,1043.26,0
2025-01-04,947.98,0
2025-01-05,844.74,0
2025-01-06,996.94,0
2025-01-07,1107.94,0
2025-01-08,1061.43,0
2025-01-09,989.41,0
2025-01-10,1052.33,0
2025-01-11,844.17,0
2025-01-12,846.23,0
2025-01-13,1040.89,0
2025-01-14,913.77,0
2025-01-15,927.27,0
2025-01-16,999.23,0
2025-01-17,974.39,0
2025-01-18,906.22,0
2025-01-19,835.08,0
2025-01-20,957.02,0
2025-01-21,1131.89,0
2025-01-22,1032.61,0
2025-01-23,1052.4,0
2025-01-24,965.06,0
2025-01-25,870.08,0
2025-01-26,911.6,0
2025-01-27,988.08,0
2025-01-28,1081.88,0
2025-01-29,1025.5,0
2025-01-30,1046.23,0
2025-01-31,1029.83,0
2025-02-01,1029.27,0
2025-02-02,919.52,0
2025-02-03,1009.06,0
2025-02-04,1124.08,0
2025-02-05,1003.67,0
2025-02-06,1091.65,0
2025-02-07,963.74,0
2025-02-08,853.83,0
2025-02-09,947.53,0
2025-02-10,1132.22,0
2025-02-11,1100.39,0
2025-02-12,1085.37,0
2025-02-13,1076.44,0
2025-02-14,1007.99,0
2025-02-15,1450.43,1
2025-02-16,1616.11,1
2025-02-17,1166.72,0
2025-02-18,1126.11,0
2025-02-19,1001.91,0
2025-02-20,1129.34,0
2025-02-21,1088.98,0
2025-02-22,923.67,0
2025-02-23,1003.18,0
2025-02-24,1180.54,0
2025-02-25,1176.76,0
2025-02-26,1072.72,0
2025-02-27,1106.72,0
2025-02-28,1147.35,0
2025-03-01,1038.2,0
2025-03-02,953.12,0
2025-03-03,1122.93,0
2025-03-04,1069.88,0
2025-03-05,1066.69,0
2025-03-06,1189.41,0
2025-03-07,1224.23,0
2025-03-08,990.73,0
2025-03-09,1057.46,0
2025-03-10,1171.15,0
2025-03-11,1112.94,0
2025-03-12,1175.53,0
2025-03-13,1248.33,0
2025-03-14,1156.09,0
2025-03-15,1104.32,0
2025-03-16,855.45,0
2025-03-17,1214.15,0
2025-03-18,1172.26,0
2025-03-19,1151.29,0
2025-03-20,1176.93,0
2025-03-21,1054.37,0
2025-03-22,1012.64,0
2025-03-23,1049.45,0
2025-03-24,1268.89,0
2025-03-25,1151.32,0
2025-03-26,1136.11,0
2025-03-27,1156.71,0
2025-03-28,1243.94,0
2025-03-29,1060.93,0
2025-03-30,1011.62,0
2025-03-31,1226.4,0
2025-04-01,1203.63,0
2025-04-02,1258.12,0
2025-04-03,1160.07,0
2025-04-04,1184.74,0
2025-04-05,1033.07,0
2025-04-06,970.98,0
2025-04-07,1228.76,0
2025-04-08,1228.85,0
2025-04-09,1215.69,0
2025-04-10,1203.51,0
2025-04-11,1134.86,0
2025-04-12,1046.74,0
2025-04-13,1053.61,0
2025-04-14,1178.24,0
2025-04-15,1218.89,0
2025-04-16,1255.01,0
2025-04-17,1346.14,0
2025-04-18,1245.64,0
2025-04-19,1102.82,0
2025-04-20,1085.09,0
2025-04-21,1126.63,0
2025-04-22,1242.37,0
2025-04-23,1249.77,0
2025-04-24,1396.15,0
2025-04-25,1239.01,0
2025-04-26,1120.84,0
2025-04-27,1102.86,0
2025-04-28,1187.02,0
2025-04-29,1327.91,0
2025-04-30,1306.65,0
2025-05-01,1311.2,0
2025-05-02,1211.37,0
2025-05-03,1202.3,0
2025-05-04,1036.22,0
2025-05-05,1307.74,0
2025-05-06,1406.15,0
2025-05-07,1217.49,0
2025-05-08,1245.14,0
2025-05-09,1287.3,0
2025-05-10,1103.31,0
2025-05-11,1545.11,1
2025-05-12,1292.03,0
2025-05-13,1226.37,0
2025-05-14,1320.72,0
2025-05-15,1239.34,0
2025-05-16,1389.7,0
2025-05-17,1101.91,0
2025-05-18,1131.78,0
2025-05-19,1352.11,0
2025-05-20,1231.64,0
2025-05-21,1321.34,0
2025-05-22,1388.32,0
2025-05-23,1215.64,0
2025-05-24,1175.36,0
2025-05-25,1182.08,0
2025-05-26,1365.59,0
2025-05-27,1246.66,0
2025-05-28,1243.85,0
2025-05-29,1356.59,0
2025-05-30,1345.29,0
2025-05-31,1194.7,0
2025-06-01,1202.66,0
2025-06-02,1293.26,0
2025-06-03,1350.2,0
2025-06-04,1356.05,0
2025-06-05,1297.8,0
2025-06-06,1454.8,0
2025-06-07,1223.48,0
2025-06-08,1125.77,0
2025-06-09,1388.84,0
2025-06-10,1293.17,0
2025-06-11,1401.07,0
2025-06-12,1425.56,0
2025-06-13,1309.0,0
2025-06-14,1268.24,0
2025-06-15,1237.4,0
2025-06-16,1414.16,0
2025-06-17,1480.84,0
2025-06-18,1354.51,0
2025-06-19,1326.2,0
2025-06-20,1320.26,0
2025-06-21,1176.88,0
2025-06-22,1223.4,0
2025-06-23,1400.69,0
2025-06-24,1399.02,0
2025-06-25,1434.25,0
2025-06-26,1387.59,0
2025-06-27,1476.22,0
2025-06-28,1225.33,0
2025-06-29,1406.62,0
2025-06-30,1433.14,0
2025-07-01,1346.37,0
2025-07-02,1335.75,0
2025-07-03,1431.15,0
2025-07-04,1390.99,0
2025-07-05,1299.43,0
2025-07-06,1287.19,0
2025-07-07,1406.62,0
2025-07-08,1362.38,0
2025-07-09,1324.49,0
2025-07-10,1390.79,0
2025-07-11,1471.16,0
2025-07-12,1284.82,0
2025-07-13,1199.43,0
2025-07-14,1436.76,0
2025-07-15,1451.69,0
2025-07-16,1377.74,0
2025-07-17,1442.19,0
2025-07-18,1438.66,0
2025-07-19,1218.78,0
2025-07-20,2005.0,1
2025-07-21,1984.04,1
2025-07-22,1508.94,0
2025-07-23,1509.38,0
2025-07-24,1365.69,0
2025-07-25,1394.28,0
2025-07-26,1333.65,0
2025-07-27,1335.77,0
2025-07-28,1488.05,0
2025-07-29,1690.5,0
2025-07-30,1495.79,0
2025-07-31,1531.87,0
2025-08-01,1523.17,0
2025-08-02,1357.22,0
2025-08-03,1301.41,0
2025-08-04,1518.07,0
2025-08-05,1428.36,0
2025-08-06,1462.71,0
2025-08-07,1450.0,0
2025-08-08,1486.23,0
2025-08-09,1472.4,0
2025-08-10,1223.68,0
2025-08-11,1529.09,0
2025-08-12,1393.35,0
2025-08-13,1463.99,0
2025-08-14,1559.84,0
2025-08-15,1500.56,0
2025-08-16,1284.24,0
2025-08-17,1308.18,0
2025-08-18,1544.07,0
2025-08-19,1461.67,0
2025-08-20,1520.68,0
2025-08-21,1512.62,0
2025-08-22,1472.99,0
2025-08-23,1492.92,0
2025-08-24,1404.52,0
2025-08-25,1397.17,0
2025-08-26,1532.07,0
2025-08-27,1483.37,0
2025-08-28,1576.42,0
2025-08-29,1479.92,0
2025-08-30,1372.79,0
2025-08-31,1412.17,0
2025-09-01,1586.01,0
2025-09-02,1464.25,0
2025-09-03,1518.39,0
2025-09-04,1512.16,0
2025-09-05,1503.66,0
2025-09-06,1500.98,0
2025-09-07,1421.55,0
2025-09-08,1473.8,0
2025-09-09,1606.72,0
2025-09-10,1681.18,0
2025-09-11,1617.99,0
2025-09-12,1467.08,0
2025-09-13,1381.39,0
2025-09-14,1488.65,0
2025-09-15,1522.37,0
2025-09-16,1593.66,0
2025-09-17,1615.71,0
2025-09-18,2315.81,0
2025-09-19,1570.05,0
2025-09-20,1231.35,0
2025-09-21,1366.56,0
2025-09-22,1565.07,0
2025-09-23,1507.55,0
2025-09-24,1682.56,0
2025-09-25,1501.0,0
2025-09-26,1562.61,0
2025-09-27,1449.05,0
2025-09-28,1529.88,0
2025-09-29,1509.45,0
2025-09-30,1667.59,0
2025-10-01,1600.61,0
2025-10-02,1543.31,0
2025-10-03,1632.12,0
2025-10-04,1468.54,0
2025-10-05,1422.78,0
2025-10-06,1615.18,0
2025-10-07,1590.07,0
2025-10-08,1622.2,0
2025-10-09,1657.31,0
2025-10-10,1714.94,0
2025-10-11,1397.71,0
2025-10-12,1602.16,0
2025-10-13,1509.25,0
2025-10-14,1619.46,0
2025-10-15,1666.07,0
2025-10-16,1649.83,0
2025-10-17,1597.8,0
2025-10-18,1474.88,0
2025-10-19,1459.98,0
2025-10-20,1606.4,0
2025-10-21,1694.93,0
2025-10-22,1667.57,0
2025-10-23,1606.78,0
2025-10-24,1704.53,0
2025-10-25,1521.19,0
2025-10-26,1553.72,0
2025-10-27,1694.92,0
2025-10-28,2287.83,1
2025-10-29,1627.93,0
2025-10-30,1708.57,0
2025-10-31,1702.56,0
2025-11-01,1516.88,0
2025-11-02,1527.37,0
2025-11-03,1749.19,0
2025-11-04,1639.23,0
2025-11-05,1709.75,0
2025-11-06,1666.99,0
2025-11-07,1668.26,0
2025-11-08,1599.44,0
2025-11-09,1585.24,0
2025-11-10,1736.72,0
2025-11-11,1768.44,0
2025-11-12,1693.57,0
2025-11-13,1735.42,0
2025-11-14,1678.09,0
2025-11-15,1568.35,0
2025-11-16,1543.29,0
2025-11-17,1709.12,0
2025-11-18,1741.2,0
2025-11-19,1658.6,0
2025-11-20,1835.43,0
2025-11-21,1651.73,0
2025-11-22,1491.43,0
2025-11-23,1635.97,0
2025-11-24,1766.18,0
2025-11-25,1758.33,0
2025-11-26,1760.78,0
2025-11-27,1724.54,0
2025-11-28,1673.64,0
2025-11-29,1584.22,0
2025-11-30,1541.24,0
2025-12-01,1792.57,0
2025-12-02,1727.44,0
2025-12-03,1688.93,0
2025-12-04,1721.38,0
2025-12-05,1767.63,0
2025-12-06,1561.23,0
2025-12-07,1547.92,0
2025-12-08,1764.07,0
2025-12-09,1766.35,0
2025-12-10,1723.43,0
2025-12-11,1727.78,0
2025-12-12,1772.16,0
2025-12-13,1523.55,0
2025-12-14,1528.19,0
2025-12-15,1721.73,0
2025-12-16,1754.23,0
2025-12-17,1787.89,0
2025-12-18,1859.95,0
2025-12-19,1825.09,0
2025-12-20,1616.23,0
2025-12-21,1626.88,0
2025-12-22,1720.07,0
2025-12-23,1781.31,0
2025-12-24,1767.3,0
2025-12-25,1806.18,0
2025-12-26,1739.38,0
2025-12-27,1672.37,0
2025-12-28,1735.37,0
2025-12-29,1789.08,0
2025-12-30,1821.9,0
2025-12-31,1841.41,0
